id_respuesta,Timestamp,¿Para qué tipo de empresa trabaja?,La empresa para la que usted trabaja se dedica principalmente a,¿Cuantos años de fundada tiene la empresa para la que trabaja?,¿Cuál es su título en la empresa?,¿Se considera usted fundador en la empresa?,¿Qué porcentaje de su tiempo laboral se ocupa en tareas relacionadas a desarrollo de software?,¿Qué porcentaje de su tiempo laboral se ocupa en gerencia de proyectos?,¿Qué porcentaje de su tiempo laboral se ocupa en liderazgo técnico?,¿Qué porcentaje de su tiempo laboral se ocupa en gerencia de ingeniería?,¿Cuánto tiempo lleva en su cargo actual (incluyendo freelance)?,¿Cuántos años de experiencia en desarrollo de software profesional tiene?,¿En cuál de los siguientes lenguajes de programación ocupa la mayoría de su tiempo laboral?,¿En qué otros lenguajes de programación ocupa su tiempo laboral?,Tipo de relación laboral,Su modo de trabajo es: (ignorando el cambio por covid-19),Usted prefiere:,¿Tiene titulo universitario o técnico?,¿Estudió alguna carrera de PRE-grado relacionada a ingeniería de sistemas?,¿Estudió alguna carrera de POSTgrado relacionada a ingeniería de sistemas?,¿Tomó clases de programación o algorítmia en la universidad?,¿Cuál es su máximo titulo alcanzado (graduado)?,¿Ha estudiado en algún bootcamp de programación?,"¿Si ha estudiado en un bootcamp de programación, en cuál? (ingrese el url del bootcamp)",¿Cuál es su nivel de inglés para realizar conversaciones técnicas sobre software?,¿A usted le pagan en pesos colombianos (COP) o dólares (USD)?,"¿Usando la moneda de la respuesta anterior, cuánto es su remuneración ANUAL base?  eg 36,000,000 si es pesos o 3,600 si es dólares",¿Cuánto es su remuneración ANUAL adicional (usando la moneda que respondio anteriormente)?,¿Cuánto era la remuneración base ANUAL de su trabajo/rol anterior?,¿Quién paga su seguro de salud?,¿Quién paga sus pensiones y cesantias?,¿Tiene acciones (opciones/stock options/rsus) o dividendos de su empresa como parte de su compensación?,"¿Si tiene acciones, cuántas tiene en total?","¿Si tiene acciones, cuál es el precio de emisión por acción en USD? (use $3,750 como tasa de cambio si es necesario)",¿Trabaja usted en proyectos freelance a pesar de tener trabajo tiempo completo?,¿Cuanto fue el total de sus ingresos adicionales de proyectos freelance el año pasado?,¿Siente que su salario es justo?,¿En qué sitio web busca oportunidades laborales principalmente?,¿En que ciudad de Colombia vive?,¿Cuál es su país de procedencia?,¿En qué año nació?,¿Cuantos hijos tiene?,¿Con cual pronombre prefiere que se refieran a usted?,¿Se considera usted parte de una minoría racial o étnica?,¿Cuantas horas trabaja por semana?,titulo_en_empresa_v2,tipo_relacion_laboral_v2,url_bootcamp_v2,precio_emision_accion_v2,acciones_total_v2,ingresos_freelance_ultimo_anio_v2,sitio_buscar_trabajo_v2,ciudad_v2,pais_v2,anio_nacimiento_v2,horas_trabajo_semana_v2,remuneracion_anual_v2,remuneracion_mensual_usd
14,6/17/2020 17:03:13,empresa extranjera,consultoría y servicios de desarrollo de software a la medida,5 - 10,Backend Developer,no,50 - 60%,40 - 50%,10 - 20%,0 - 10%,menos de 1 año,más de 15 años,PHP,"JavaScript, HTML / CSS",contratista internacional,"remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un cafe)",trabajo flexible,universitario,si,no,si,pregrado,No,NULL,intermedio (puede pasar una entrevista de programación en ingles cómodamente),dólares,31200,0,24000,yo,yo,no,NULL,NULL,si,5400,si,http://linkedin.com,Armenia,Colombia,1979,0,él (tradicionalmente se identifica como hombre),no,NULL,Backend Developer,Contratista,NULL,NULL,NULL,[1k-10k],LinkedIn.com,Armenia,Colombia,[41-45],NULL,31200,2600
15,6/17/2020 17:03:19,empresa extranjera,consultoría y servicios de desarrollo de software a la medida,5 - 10,Web Developer,no,90 - 100%,no tengo responsabilidades de este tipo,50 - 60%,no tengo responsabilidades gerenciales,3 - 5 años,5 - 10 años,TypeScript,JavaScript,contrato a termino indefinido,"flexible (va a la oficina, pero puede trabajar desde casa cuando quiera)",trabajo flexible,universitario,si,no,si,pregrado,No,NULL,avanzado (puede liderar una reunion de varias personas en ingles comodamente),pesos,90000000,15000000,35000000,mi empleador,mi empleador,no,NULL,NULL,no,0,no,http://linkedin.com,Medellín,Colombia,1990,0,él (tradicionalmente se identifica como hombre),no,NULL,Web Developer,término indefinido,NULL,NULL,NULL,[0-1000],LinkedIn.com,Medellín,Colombia,[26-30],NULL,24000,2000
16,6/17/2020 17:08:22,empresa Colombiana con mercado EEUU,consultoría y servicios de desarrollo de software a la medida,menos de 1,iOS Developer,si,80 - 90%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,menos de 1 año,3 - 5 años,Swift,Java,contrato a termino indefinido,"flexible (va a la oficina, pero puede trabajar desde casa cuando quiera)",trabajo flexible,universitario,si,no,si,pregrado,No,NULL,intermedio (puede pasar una entrevista de programación en ingles cómodamente),pesos,120000000,1000000,96000000,mi empleador,mi empleador,no,NULL,NULL,no,0,si,http://linkedin.com,Medellín,Colombia,1989,0,él (tradicionalmente se identifica como hombre),no,NULL,iOS Developer,término indefinido,NULL,NULL,NULL,[0-1000],LinkedIn.com,Medellín,Colombia,[31-35],NULL,32000,2666
17,6/17/2020 17:19:53,empresa Colombiana con mercado EEUU,"servicio o producto de tecnología (similar a dropbox, github, stripe, heroku o hardware)",más de 10,Backend Engineer,no,80 - 90%,0 - 10%,0 - 10%,no tengo responsabilidades gerenciales,2+ años,3 - 5 años,HTML / CSS,JavaScript,contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,universitario,si,no,si,pregrado,No,NULL,intermedio (puede pasar una entrevista de programación en ingles cómodamente),pesos,45000000,3750000,24000000,mi empleador,mi empleador,no,NULL,NULL,no,0,si,http://linkedin.com,Medellín,Colombia,1994,0,él (tradicionalmente se identifica como hombre),no,NULL,Backend Developer,término indefinido,NULL,NULL,NULL,[0-1000],LinkedIn.com,Medellín,Colombia,[26-30],NULL,12000,1000
18,6/17/2020 17:20:55,empresa Colombiana con mercado Colombiano,"servicio no tecnológico (banca, seguros, contabilidad, etc)",2 - 5,NULL,no,90 - 100%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,2+ años,2+ años,Ruby,"JavaScript, HTML / CSS",contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo remoto,universitario,si,no,si,pregrado,No,NULL,básico (puede leer documentación y código en inglés),pesos,3000000,0,1500000,mi empleador,mi empleador,si - stock options,1,NULL,no,0,no,NULL,Bogotá,Colombia,1995,0,él (tradicionalmente se identifica como hombre),no,NULL,Developer,término indefinido,NULL,NULL,[0-1000],[0-1000],NULL,Bogotá,Colombia,[21-25],NULL,800,66
19,6/17/2020 17:28:48,empresa extranjera,consultoría y servicios de desarrollo de software a la medida,más de 10,Software Architect,no,70 - 80%,0 - 10%,10 - 20%,no tengo responsabilidades gerenciales,10 - 15 años,10 - 15 años,TypeScript,JavaScript,contrato a termino indefinido,"flexible (va a la oficina, pero puede trabajar desde casa cuando quiera)",trabajo flexible,ningúno,no,no,si,bachiller,No,NULL,avanzado (puede liderar una reunion de varias personas en ingles comodamente),pesos,169261632,14105136,105231230,mi empleador,mi empleador,no,NULL,NULL,no,0,si,NULL,Medellín,Colombia,1989,3,él (tradicionalmente se identifica como hombre),no,NULL,Architect,término indefinido,NULL,NULL,NULL,[0-1000],NULL,Medellín,Colombia,[31-35],NULL,45136,3761
20,6/17/2020 17:30:40,empresa extranjera,"servicio o producto de tecnología (similar a dropbox, github, stripe, heroku o hardware)",2 - 5,node.js dev,no,70 - 80%,0 - 10%,10 - 20%,no tengo responsabilidades gerenciales,1+ año,5 - 10 años,TypeScript,JavaScript,contratista internacional,"remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un cafe)",trabajo remoto,universitario,si,si,si,pregrado,No,NULL,avanzado (puede liderar una reunion de varias personas en ingles comodamente),dólares,60000,0,45000,yo,yo,si - stock options,10000,1,si,5000,no,http://twitter.com,medellin,Colombia,1989,1,él (tradicionalmente se identifica como hombre),no,NULL,node.js dev,Contratista,NULL,[0-10],[10k-100k],[1k-10k],Twitter.com,Medellín,Colombia,[31-35],NULL,60000,5000
21,6/17/2020 17:30:47,empresa Colombiana con mercado latinoamericano,"servicio o producto de tecnología (similar a dropbox, github, stripe, heroku o hardware)",más de 10,desarrollador front-end,no,90 - 100%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,1+ año,1+ año,HTML / CSS,JavaScript,contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,universitario,si,no,si,pregrado,No,NULL,básico (puede leer documentación y código en inglés),pesos,24000000,2000000,3000000,mi empleador,mi empleador,no,NULL,NULL,no,0,no,http://linkedin.com,Medellín,Colombia,1988,0,él (tradicionalmente se identifica como hombre),no,NULL,Frontend Developer,término indefinido,NULL,NULL,NULL,[0-1000],LinkedIn.com,Medellín,Colombia,[31-35],NULL,6400,533
22,6/17/2020 17:35:41,empresa Colombiana con mercado EEUU,consultoría y servicios de desarrollo de software a la medida,más de 10,Backend Java Developer,no,70 - 80%,10 - 20%,10 - 20%,no tengo responsabilidades gerenciales,menos de 1 año,5 - 10 años,Java,"Groovy, JavaScript",contrato a termino indefinido con empresa local pero trabajo para empresa extranjera,"flexible (va a la oficina, pero puede trabajar desde casa cuando quiera)",trabajo flexible,universitario,si,no,si,pregrado,No,NULL,avanzado (puede liderar una reunion de varias personas en ingles comodamente),pesos,108,0,86,mi empleador,mi empleador,no,NULL,NULL,no,0,si,http://linkedin.com,Medellin,Colombia,1992,0,él (tradicionalmente se identifica como hombre),no,NULL,Backend Developer,término indefinido,NULL,NULL,NULL,[0-1000],LinkedIn.com,Medellín,Colombia,[26-30],NULL,0,0
23,6/17/2020 17:44:15,empresa Colombiana con mercado EEUU,consultoría y servicios de desarrollo de software a la medida,más de 10,Sr Technical Consultant & Tech Lead,no,30 - 40%,10 - 20%,20 - 30%,0 - 10%,3 - 5 años,5 - 10 años,JavaScript,"ninguno,  por que soy manager ?",contrato a termino indefinido,"remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un cafe)",trabajo remoto,universitario,si,no,si,pregrado,No,NULL,avanzado (puede liderar una reunion de varias personas en ingles comodamente),pesos,133800000,16725000,81600000,mi empleador,mi empleador,no,NULL,NULL,no,0,si,http://www.linkedin.com,Bogotá,Colombia,1989,0,él (tradicionalmente se identifica como hombre),no,NULL,Lead,término indefinido,NULL,NULL,NULL,[0-1000],LinkedIn.com,Bogotá,Colombia,[31-35],NULL,35680,2973
24,6/17/2020 17:45:11,soy independiente (freelance),soy independiente,soy independiente,Desarrollador senior,no,90 - 100%,0 - 10%,10 - 20%,no tengo responsabilidades gerenciales,10 - 15 años,10 - 15 años,TypeScript,Python,contrato a termino fijo,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo remoto,universitario,si,no,si,pregrado,No,NULL,básico (puede leer documentación y código en inglés),pesos,140000000,15000000,133000000,yo,yo,no,NULL,NULL,no,0,no,NULL,Bogotá,Colombia,1984,2,él (tradicionalmente se identifica como hombre),no,NULL,Developer,término fijo,NULL,NULL,NULL,[0-1000],NULL,Bogotá,Colombia,[36-40],NULL,37333,3111
25,6/17/2020 17:45:32,empresa Colombiana con mercado Colombiano,consultoría y servicios de desarrollo de software a la medida,2 - 5,Frontend Developer,no,90 - 100%,no tengo responsabilidades de este tipo,0 - 10%,no tengo responsabilidades gerenciales,menos de 1 año,5 - 10 años,JavaScript,TypeScript,contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo remoto,ningúno,si,no,si,bachiller,Sí,https://platzi.com/,básico (puede leer documentación y código en inglés),pesos,42000000,0,21000000,mi empleador,mi empleador,no,NULL,NULL,no,0,no,http://colombia-dev.slack.com,Medellín,Colombia,1977,3,ella (tradicionalmente se identifica como mujer),no,NULL,Frontend Developer,término indefinido,platzi.com,NULL,NULL,[0-1000],Colombia-dev.slack.com,Medellín,Colombia,[41-45],NULL,11200,933
26,6/17/2020 17:52:39,empresa extranjera,"servicio no tecnológico (banca, seguros, contabilidad, etc)",más de 10,Senior iOS developer,no,60 - 70%,no tengo responsabilidades de este tipo,20 - 30%,0 - 10%,1+ año,5 - 10 años,Swift,"Ruby, Swift, Objective-C",contratista internacional,"remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un cafe)",trabajo remoto,universitario,si,no,si,pregrado,No,NULL,avanzado (puede liderar una reunion de varias personas en ingles comodamente),dólares,67200,0,32500,yo,yo,no,NULL,NULL,no,0,si,https://colombia-dev.slack.com,Envigado,Colombia,1990,0,él (tradicionalmente se identifica como hombre),no,NULL,iOS Developer,Contratista,NULL,NULL,NULL,[0-1000],Colombia-dev.slack.com,Envigado,Colombia,[26-30],NULL,67200,5600
27,6/17/2020 17:56:48,empresa Colombiana con mercado global,consultoría y servicios de desarrollo de software a la medida,2 - 5,Senior Front-end,si,80 - 90%,0 - 10%,30 - 40%,10 - 20%,2+ años,5 - 10 años,JavaScript,"Dart, Elm, PHP, Python, Rust, TypeScript",contrato a termino indefinido,"remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un cafe)",trabajo remoto,técnico,no,no,no,bachiller,No,NULL,básico (puede leer documentación y código en inglés),pesos,64800000,0,0,mi empleador,mi empleador,si - stock options,NULL,NULL,si,30000000,no,NULL,Envigado,Colombia,1990,0,él (tradicionalmente se identifica como hombre),no,NULL,Frontend Developer,término indefinido,NULL,NULL,NULL,[1k-10k],NULL,Envigado,Colombia,[26-30],NULL,17280,1440
28,6/17/2020 18:07:14,empresa extranjera,"servicio o producto de tecnología (similar a dropbox, github, stripe, heroku o hardware)",5 - 10,DevRel,no,0 - 10%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,1+ año,1+ año,"ninguno, por que soy manager ?","ninguno,  por que soy manager ?",contratista internacional,"remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un cafe)",trabajo remoto,universitario,no,no,no,pregrado,Sí,NULL,avanzado (puede liderar una reunion de varias personas en ingles comodamente),dólares,100000,1000,60000,mi empleador,yo,no,NULL,NULL,no,0,si,NULL,Medellin,Colombia,1991,0,ella (tradicionalmente se identifica como mujer),no,NULL,DevRel,Contratista,NULL,NULL,NULL,[0-1000],NULL,Medellín,Colombia,[26-30],NULL,100000,8333
